id,gender,dominant_arm,lv,exp,growth_curve_group_id,job_id,mes_id_name,in_type_id,hp,mp,magical_times1,magical_times2,magical_times3,magical_times4,magical_times5,magical_times6,magical_times7,magical_times8,strength,vitality,agility,intelligence,spirit,magic,luck,attack,defense,accuracy_rate,dodge_times,evasion_rate,ability_defense,magic_evasion_rate,corps,command_id1,command_id2,command_id3,command_id4,command_id5,command_id6,content_id1,content_id2,content_id3,content_id4,content_id5,content_id6,ability_random_group_id,initial_condition_group,character_asset_id
1,1,1,10,1500,1,6,MSG_CHAR_NAME_01,2,330,0,0,0,0,0,0,0,0,0,9,9,12,8,8,0,22,0,0,0,0,0,0,0,1,1,27,34,31,3,0,128,229,268,247,293,0,0,119,6
2,1,2,10,1150,2,3,MSG_CHAR_NAME_02,2,224,0,0,0,0,0,0,0,0,0,6,10,8,10,9,0,41,0,0,0,0,0,0,0,1,1,34,23,0,3,0,228,148,267,244,292,0,0,120,3
3,2,1,10,1070,3,2,MSG_CHAR_NAME_03,2,541,64,0,0,0,0,0,0,0,0,9,9,6,5,10,0,38,0,0,0,0,0,0,0,1,1,7,22,10,3,0,204,196,264,241,294,0,9,121,2
4,2,1,1,0,4,7,MSG_CHAR_NAME_04,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,1,16,11,19,3,0,181,224,264,241,294,0,10,122,8
5,1,1,20,13377,5,10,MSG_CHAR_NAME_05,2,696,0,0,0,0,0,0,0,0,0,29,22,29,11,14,0,37,0,0,0,0,0,0,0,1,1,0,14,0,3,0,168,224,263,226,227,0,0,123,11
6,1,1,20,27437,6,8,MSG_CHAR_NAME_06,2,954,126,0,0,0,0,0,0,0,0,17,28,26,29,22,0,25,0,0,0,0,0,0,0,1,1,7,0,0,3,0,189,224,264,226,227,0,11,124,9
7,1,1,5,194,7,9,MSG_CHAR_NAME_07,2,205,0,0,0,0,0,0,0,0,0,5,3,5,3,2,0,36,0,0,0,0,0,0,0,1,1,25,11,31,3,3,160,224,265,243,290,0,0,86,10
8,1,3,10,1031,8,11,MSG_CHAR_NAME_08,2,482,0,0,0,0,0,0,0,0,0,13,5,10,7,8,0,23,0,0,0,0,0,0,0,1,1,0,31,0,3,0,162,127,264,226,227,0,12,125,12
9,1,2,10,979,9,12,MSG_CHAR_NAME_09,2,331,97,0,0,0,0,0,0,0,0,12,13,10,12,13,0,36,0,0,0,0,0,0,0,1,1,7,22,10,3,0,224,183,264,243,294,0,13,126,13
10,2,1,10,979,10,13,MSG_CHAR_NAME_10,2,272,93,0,0,0,0,0,0,0,0,7,13,13,7,11,0,37,0,0,0,0,0,0,0,1,1,7,17,28,3,0,189,224,264,243,294,0,9,127,14
11,1,3,25,32389,11,5,MSG_CHAR_NAME_11,2,633,57,0,0,0,0,0,0,0,0,15,30,17,19,14,0,27,0,0,0,0,0,0,0,1,1,7,19,14,3,0,175,175,274,246,301,0,14,128,5
12,1,1,50,503933,12,14,MSG_CHAR_NAME_12,2,1805,441,0,0,0,0,0,0,0,0,47,59,38,27,46,0,35,0,0,0,0,0,0,0,1,1,7,17,34,3,0,193,224,276,249,302,0,15,99,15
13,1,1,1,0,13,1,MSG_CHAR_NAME_01,2,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,1,1,17,0,25,3,0,131,224,262,226,227,0,16,101,1
14,1,1,50,503933,1,15,MSG_CHAR_NAME_13,2,2052,0,0,0,0,0,0,0,0,0,25,69,36,73,53,0,41,0,0,0,0,0,0,0,2,1,14,26,0,3,0,127,224,225,226,227,0,0,99,16
