id,type_id,group_id,lv,total_exp
1,1,1,10,500
2,1,1,11,555
3,1,1,12,753
4,1,1,13,1001
5,1,1,14,1306
6,1,1,15,1679
7,1,1,16,2127
8,1,1,17,2660
9,1,1,18,3290
10,1,1,19,4028
11,1,1,20,4884
12,1,1,21,5872
13,1,1,22,7004
14,1,1,23,8295
15,1,1,24,9757
16,1,1,25,11406
17,1,1,26,13258
18,1,1,27,15328
19,1,1,28,17634
20,1,1,29,20192
21,1,1,30,23020
22,1,1,31,26137
23,1,1,32,29562
24,1,1,33,33315
25,1,1,34,37416
26,1,1,35,41886
27,1,1,36,46747
28,1,1,37,52021
29,1,1,38,57730
30,1,1,39,63899
31,1,1,40,70551
32,1,1,41,77704
33,1,1,42,85397
34,1,1,43,93650
35,1,1,44,102489
36,1,1,45,111940
37,1,1,46,122033
38,1,1,47,132795
39,1,1,48,144254
40,1,1,49,156442
41,1,1,50,169388
42,1,1,51,183123
43,1,1,52,197678
44,1,1,53,213085
45,1,1,54,229378
46,1,1,55,246590
47,1,1,56,264754
48,1,1,57,283905
49,1,1,58,304079
50,1,1,59,325311
51,1,1,60,347637
52,1,1,61,371095
53,1,1,62,395722
54,1,1,63,421557
55,1,1,64,448638
56,1,1,65,477005
57,1,1,66,506699
58,1,1,67,537759
59,1,1,68,570227
60,1,1,69,604146
61,1,1,70,639557
62,1,1,71,674968
63,1,1,72,710380
64,1,1,73,745791
65,1,1,74,781202
66,1,1,75,816614
67,1,1,76,852025
68,1,1,77,887436
69,1,1,78,922848
70,1,1,79,958259
71,1,1,80,993670
72,1,1,81,1029082
73,1,1,82,1064493
74,1,1,83,1099904
75,1,1,84,1135316
76,1,1,85,1170727
77,1,1,86,1206138
78,1,1,87,1241550
79,1,1,88,1276961
80,1,1,89,1312372
81,1,1,90,1347784
82,1,1,91,1383195
83,1,1,92,1418606
84,1,1,93,1454018
85,1,1,94,1489429
86,1,1,95,1524840
87,1,1,96,1560252
88,1,1,97,1595663
89,1,1,98,1631074
90,1,1,99,1666486
91,1,2,10,383
92,1,2,11,510
93,1,2,12,678
94,1,2,13,886
95,1,2,14,1140
96,1,2,15,1448
97,1,2,16,1816
98,1,2,17,2251
99,1,2,18,2763
100,1,2,19,3359
101,1,2,20,4049
102,1,2,21,4842
103,1,2,22,5749
104,1,2,23,6780
105,1,2,24,7946
106,1,2,25,9258
107,1,2,26,10729
108,1,2,27,12371
109,1,2,28,14197
110,1,2,29,16221
111,1,2,30,18456
112,1,2,31,20916
113,1,2,32,23618
114,1,2,33,26575
115,1,2,34,29804
116,1,2,35,33322
117,1,2,36,37144
118,1,2,37,41289
119,1,2,38,45773
120,1,2,39,50616
121,1,2,40,55836
122,1,2,41,61452
123,1,2,42,67484
124,1,2,43,73952
125,1,2,44,80877
126,1,2,45,88280
127,1,2,46,96181
128,1,2,47,104605
129,1,2,48,113572
130,1,2,49,123106
131,1,2,50,133231
132,1,2,51,143971
133,1,2,52,155349
134,1,2,53,167392
135,1,2,54,180124
136,1,2,55,193571
137,1,2,56,207761
138,1,2,57,222718
139,1,2,58,238472
140,1,2,59,255050
141,1,2,60,272480
142,1,2,61,290791
143,1,2,62,310012
144,1,2,63,330173
145,1,2,64,351305
146,1,2,65,373437
147,1,2,66,396602
148,1,2,67,420830
149,1,2,68,446155
150,1,2,69,472608
151,1,2,70,500223
152,1,2,71,527838
153,1,2,72,555453
154,1,2,73,583068
155,1,2,74,610683
156,1,2,75,638298
157,1,2,76,665913
158,1,2,77,693528
159,1,2,78,721143
160,1,2,79,748758
161,1,2,80,776373
162,1,2,81,803988
163,1,2,82,831603
164,1,2,83,859218
165,1,2,84,886833
166,1,2,85,914448
167,1,2,86,942063
168,1,2,87,969678
169,1,2,88,997293
170,1,2,89,1024908
171,1,2,90,1052523
172,1,2,91,1080138
173,1,2,92,1107753
174,1,2,93,1135368
175,1,2,94,1162983
176,1,2,95,1190598
177,1,2,96,1218213
178,1,2,97,1245828
179,1,2,98,1273443
180,1,2,99,1301058
181,1,3,10,356
182,1,3,11,492
183,1,3,12,665
184,1,3,13,880
185,1,3,14,1146
186,1,3,15,1469
187,1,3,16,1857
188,1,3,17,2319
189,1,3,18,2864
190,1,3,19,3502
191,1,3,20,4242
192,1,3,21,5095
193,1,3,22,6072
194,1,3,23,7185
195,1,3,24,8446
196,1,3,25,9868
197,1,3,26,11464
198,1,3,27,13247
199,1,3,28,15233
200,1,3,29,17436
201,1,3,30,19871
202,1,3,31,22554
203,1,3,32,25502
204,1,3,33,28731
205,1,3,34,32259
206,1,3,35,36105
207,1,3,36,40286
208,1,3,37,44822
209,1,3,38,49732
210,1,3,39,55037
211,1,3,40,60757
212,1,3,41,66914
213,1,3,42,73528
214,1,3,43,80623
215,1,3,44,88220
216,1,3,45,96345
217,1,3,46,105019
218,1,3,47,114269
219,1,3,48,124118
220,1,3,49,134591
221,1,3,50,145716
222,1,3,51,157519
223,1,3,52,170026
224,1,3,53,183265
225,1,3,54,197264
226,1,3,55,212052
227,1,3,56,227658
228,1,3,57,244112
229,1,3,58,261443
230,1,3,59,279683
231,1,3,60,298863
232,1,3,61,319015
233,1,3,62,340170
234,1,3,63,362363
235,1,3,64,385625
236,1,3,65,409992
237,1,3,66,435497
238,1,3,67,462176
239,1,3,68,490064
240,1,3,69,519198
241,1,3,70,549613
242,1,3,71,580028
243,1,3,72,610443
244,1,3,73,640858
245,1,3,74,671273
246,1,3,75,701688
247,1,3,76,732103
248,1,3,77,762518
249,1,3,78,792933
250,1,3,79,823348
251,1,3,80,853763
252,1,3,81,884178
253,1,3,82,914593
254,1,3,83,945008
255,1,3,84,975423
256,1,3,85,1005838
257,1,3,86,1036253
258,1,3,87,1066668
259,1,3,88,1097083
260,1,3,89,1127498
261,1,3,90,1157913
262,1,3,91,1188328
263,1,3,92,1218743
264,1,3,93,1249158
265,1,3,94,1279573
266,1,3,95,1309988
267,1,3,96,1340403
268,1,3,97,1370818
269,1,3,98,1401233
270,1,3,99,1431648
271,1,4,1,0
272,1,4,2,7
273,1,4,3,20
274,1,4,4,39
275,1,4,5,69
276,1,4,6,110
277,1,4,7,168
278,1,4,8,245
279,1,4,9,348
280,1,4,10,482
281,1,4,11,651
282,1,4,12,864
283,1,4,13,1127
284,1,4,14,1448
285,1,4,15,1835
286,1,4,16,2298
287,1,4,17,2846
288,1,4,18,3489
289,1,4,19,4238
290,1,4,20,5105
291,1,4,21,6101
292,1,4,22,7239
293,1,4,23,8532
294,1,4,24,9995
295,1,4,25,11641
296,1,4,26,13485
297,1,4,27,15543
298,1,4,28,17831
299,1,4,29,20367
300,1,4,30,23167
301,1,4,31,26249
302,1,4,32,29633
303,1,4,33,33336
304,1,4,34,37380
305,1,4,35,41784
306,1,4,36,46570
307,1,4,37,51758
308,1,4,38,57372
309,1,4,39,63434
310,1,4,40,69967
311,1,4,41,76996
312,1,4,42,84544
313,1,4,43,92638
314,1,4,44,101303
315,1,4,45,110566
316,1,4,46,120453
317,1,4,47,130992
318,1,4,48,142211
319,1,4,49,154139
320,1,4,50,166806
321,1,4,51,180241
322,1,4,52,194475
323,1,4,53,209539
324,1,4,54,225465
325,1,4,55,242286
326,1,4,56,260034
327,1,4,57,278743
328,1,4,58,298448
329,1,4,59,319182
330,1,4,60,340982
331,1,4,61,363884
332,1,4,62,387923
333,1,4,63,413138
334,1,4,64,439565
335,1,4,65,467245
336,1,4,66,496214
337,1,4,67,526514
338,1,4,68,558183
339,1,4,69,591264
340,1,4,70,625798
341,1,4,71,660331
342,1,4,72,694864
343,1,4,73,729398
344,1,4,74,763931
345,1,4,75,798464
346,1,4,76,832998
347,1,4,77,867531
348,1,4,78,902064
349,1,4,79,936598
350,1,4,80,971131
351,1,4,81,1005664
352,1,4,82,1040198
353,1,4,83,1074731
354,1,4,84,1109264
355,1,4,85,1143798
356,1,4,86,1178331
357,1,4,87,1212864
358,1,4,88,1247398
359,1,4,89,1281931
360,1,4,90,1316464
361,1,4,91,1350998
362,1,4,92,1385531
363,1,4,93,1420064
364,1,4,94,1454598
365,1,4,95,1489131
366,1,4,96,1523664
367,1,4,97,1558198
368,1,4,98,1592731
369,1,4,99,1627264
