id,group_id,lv,insert_type_1,hp_value1,hp_value2,mp_value1,mp_value2,insert_type_2,strength,vitality,agility,intelligence,spirit,magic,luck,insert_type_3,accuracy_rate,magic_evasion_rate,magical_times1,magical_times2,magical_times3,magical_times4,magical_times5,magical_times6,magical_times7,magical_times8
1,1,11,2,11,11,11,11,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,12,2,23,23,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3,1,13,2,17,17,8,8,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,1,14,2,17,17,8,8,1,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5,1,15,2,25,25,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,1,16,2,18,18,18,18,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,1,17,2,31,31,14,14,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,18,2,20,20,10,10,1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,1,19,2,23,23,18,18,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0
10,1,20,2,24,24,8,8,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11,1,21,2,29,29,13,13,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12,1,22,2,34,34,2,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
13,1,23,2,36,36,19,19,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,1,24,2,37,37,18,18,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,1,25,2,47,47,19,19,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,1,26,2,41,41,4,4,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,1,27,2,29,29,2,2,1,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,1,28,2,53,53,4,4,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
19,1,29,2,33,33,10,10,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,1,30,2,58,58,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,1,31,2,37,37,8,8,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
22,1,32,2,42,42,11,11,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0
23,1,33,2,46,46,11,11,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,1,34,2,34,34,12,12,1,0,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
25,1,35,2,40,40,17,17,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
26,1,36,2,38,38,11,11,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
27,1,37,2,57,57,9,9,1,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
28,1,38,2,49,49,5,5,1,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29,1,39,2,64,64,1,1,1,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0
30,1,40,2,55,55,2,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31,1,41,2,50,50,7,7,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
32,1,42,2,62,62,18,18,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,1,43,2,67,67,3,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34,1,44,2,52,52,2,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
35,1,45,2,54,54,16,16,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,1,46,2,77,77,19,19,1,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
